ticker,name,collected_at,data_start_date,price,change,volume,ghl_color,ghl_status,ghl_days_since_change,ghl_last_change_date,ghl_last_change_price,ghl_change_percent_from_last_change,rsi,rsi_status,rsi_last_change_date,rsi_last_change_price,rsi_days_since_last_change,rsi_change_percent_from_last_change,sector,industry,tradingview_id,market_capitalization,commodity_name,display_name,sma_50,sma_100,sma_200,diff_sma50,diff_sma100,diff_sma200,bb_mid,bb_upper,bb_lower,diff_upper_bb,diff_lower_bb,last_max,fell_from_last_max,last_local_min_date,last_local_min_price,is_last_candle_min,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,is_last_candle_max,days_after_last_local_max,percent_fall_from_last_local_max,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,ml_direction,ml_value,ml_last_change_date,ml_last_change_price,ml_change_percent_from_last_change
PENGUUSDT,Pudgy Penguins,2026-04-22T00:45:40.101Z,2024-12-16,0.007803,12.224938875305625,3668027213,blue,close,91,2026-01-19,0.009195,-15.138662316476347,37.106492255421124,close,,0,0,0,,,CRYPTO:PENGUPUDUSD,489757918.01671964,,Pudgy Penguins,0.016808180000000002,,,-53.57617540983022,,,0.008103249999999998,0.01198882506039968,0.004217674939600315,-34.914389352680516,85.00714521018647,,,,,,,,,,,,,,,,-1,0.016415023741994324,2025-11-10,0.012485,-37.50100120144173
XLMUSDT,Stellar,2026-04-22T00:45:41.117Z,2018-05-28,0.1796,7.803121248499406,121382739,blue,close,56,2026-02-23,0.1542,16.472114137483796,42.828410438268016,open,2026-02-16,0.1549,63,15.94577146546159,,,CRYPTO:XLMUSD,5966554209.142404,,Stellar,0.27239399999999997,0.248735,0.1789210000000001,-34.06609543528858,-27.794640882867306,0.37949709648386065,0.18288999999999997,0.24128475661392892,0.12449524338607101,-25.56512789269505,44.262539768723656,0.6374,71.82303106369626,2026-02-02,0.1362,,77,31.864904552129243,2024-11-18,0.6374,,518,71.82303106369626,,,,-1,0.2664027045660805,2025-11-10,0.254,-29.291338582677163
RUNEUSDT,THORChain,2026-04-22T00:45:42.121Z,2020-08-31,0.47,13.801452784503631,30088239.7,blue,close,427,2025-02-17,1.408,-66.61931818181819,38.95152617489649,open,2026-02-02,0.418,77,12.440191387559807,,,CRYPTO:RUNEUSD,165009692.90304,,THORChain,0.9347200000000001,2.283570000000001,2.573790000000002,-49.71756247860323,-79.41819169108021,-81.73899191464729,0.47505,0.650995986029804,0.2991040139701959,-27.80293425980013,57.135972119328656,2.189,78.52900867976244,2025-01-27,0.955,,448,0,2025-05-19,2.189,,336,78.52900867976244,,,,-1,0.7391842932655164,2025-01-06,3.372,-86.06168446026096
ENAUSDT,Ethena,2026-04-22T00:45:42.614Z,2024-04-01,0.1112,-1.155555555555564,209633565.87,blue,close,175,2025-10-27,0.3745,-70.30707610146862,35.95070670555221,open,2025-03-31,0.2764,385,-59.7684515195369,,,CRYPTO:ENAUSD,973604531.25,,Ethena,0.33479200000000003,0.42859700000000023,,-66.78534732012713,-74.05488139207695,,0.14357499999999998,0.2542866050827554,0.032863394917244534,-56.26981611406118,238.37039745899654,1.33,91.63909774436091,2026-03-30,0.0765,,21,45.359477124183,2024-12-16,1.33,,490,91.63909774436091,,,,-1,0.2708665843627891,2025-11-10,0.2751,-59.578335150854244
CHZUSDT,Chiliz,2026-04-22T00:45:44.072Z,2019-09-02,0.04724,16.728440820360756,622558603,blue,close,651,2024-07-08,0.0689,-31.43686502177069,57.47149340448171,close,2026-01-12,0.05964,98,-20.79141515761235,,,CRYPTO:CHZUSD,487137586.69944,,Chiliz,0.03898539999999999,0.053545099999999984,0.08724424999999997,21.173567540669104,-11.775307170964266,-45.85316510830225,0.040691,0.0540486313768572,0.027333368623142798,-12.597231795535446,72.82904515472902,0.16789,71.86252903686938,2025-10-06,0.01,,196,372.3999999999999,2024-03-11,0.16789,,770,71.86252903686938,,,,-1,0.059611123373354905,2026-02-23,0.03322,42.20349187236603
XUSDUSDT,XUSD / USDT,2026-04-22T00:45:45.483Z,2025-03-17,0.9995,0,15534569,gold,open,203,2025-09-29,0.9998,-0.030006001200233445,42.03444431121373,close,,0,0,0,,,,,,XUSD / USDT,1.0000299999999998,,,-0.05299841004766659,,,1.0003099999999998,1.0012086656775463,0.9994113343224534,-0.17066029651171544,0.008871790273090596,,,,,,,,,,,,,,,,-1,1.0053098716284883,2025-06-23,0.9998,-0.030006001200233445
UTKUSDT,UTK / USDT,2026-04-22T00:45:47.375Z,2020-09-28,0.00795,19.011976047904195,777524987,blue,close,672,2024-06-10,0.0675,-88.22222222222223,35.60652216270577,open,2026-03-23,0.00609,21,30.541871921182274,,,,,,UTK / USDT,0.0200574,0.0363125,0.06481374999999998,-60.363756020221956,-78.10671256454388,-87.7340842028119,0.010328,0.015425162347816674,0.005230837652183326,-48.460834182887744,51.983306090214995,0.17853,95.54696689631994,2026-03-23,0.0042,,21,89.2857142857143,2024-12-09,0.17853,,490,95.54696689631994,,,,-1,0.017820971644942847,2025-02-17,0.05524,-85.60825488776248
TRUMPUSDT,OFFICIAL TRUMP,2026-04-22T00:45:48.341Z,2025-01-13,2.863,2.4695776664280586,6176118.773,blue,close,266,2025-07-28,8.82,-67.53968253968254,23.263821768628006,close,,0,0,0,,,CRYPTO:TRUMPOFUSD,665153374.9627806,,OFFICIAL TRUMP,6.75178,,,-57.596367180210265,,,3.914,5.898035080335022,1.9299649196649775,-51.45841011448553,48.344665274899825,,,,,,,,,,,,,,,,-1,6.134722981066798,2025-04-14,8.18,-64.99999999999999
ZENUSDT,Horizen,2026-04-22T00:45:49.797Z,2020-07-06,6.12,6.010739650095279,2093250.88,blue,close,119,2025-12-22,9.167,-33.2387913166794,44.49315141637637,close,2024-12-16,29.06,490,-78.94012388162423,,,CRYPTO:ZENUSD,110416062.00985226,,Horizen,8.597099999999998,10.101050000000003,10.391024999999999,-28.813204452664255,-39.412239321654695,-41.10301919204312,6.9308000000000005,10.481977697609626,3.379622302390375,-41.61407153732408,81.08532411066712,46.28,86.7761452031115,2026-02-02,4.939,,77,23.911723020854424,2024-12-23,46.28,,483,86.7761452031115,,,,-1,12.408021971125844,2026-02-02,5.994,2.1021021021021102
PORTALUSDT,Portal,2026-04-22T00:45:50.768Z,2024-02-26,0.01388,22.183098591549292,1048518755.5,blue,close,588,2024-09-09,0.2557,-94.57176378568634,31.97423275889018,close,,0,0,0,,,CRYPTO:PORTAL3USD,10489192.582001243,,Portal,0.0299196,0.16125779999999998,,-53.609005467987544,-91.39266441685301,,0.015059,0.02441774756578037,0.005700252434219628,-43.156100034993514,143.49798820620458,,,,,,,,,,,,,,,,-1,0.030976441471833923,2024-06-03,0.816,-98.29901960784314
